Snow Goose,Anser caerulescens,雪雁,稀见/偶见
Swan Goose,Anser cygnoides,鸿雁,稀见/偶见 濒危
Greater White-fronted Goose,Anser albifrons,白额雁,
Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,白额雁（欧亚）,
Lesser White-fronted Goose,Anser erythropus,小白额雁,稀见/偶见 易危
Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,白额雁/小白额雁,
Taiga Bean-Goose,Anser fabalis,豆雁,
Tundra Bean-Goose,Anser serrirostris,短嘴豆雁,
Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,豆雁/短嘴豆雁,
Brant,Branta bernicla,黑雁,
Brant (Black),Branta bernicla nigricans,黑雁（黑腹）,
Cackling Goose,Branta hutchinsii,小美洲黑雁,
Cackling Goose (Aleutian),Branta hutchinsii leucopareia,小美洲黑雁（阿留申，白颈环）,稀见/偶见
Cackling Goose (minima),Branta hutchinsii minima,小美洲黑雁（阿拉斯加，色深）,
Canada Goose,Branta canadensis,加拿大黑雁,来源不明
Cackling/Canada Goose,Branta hutchinsii/canadensis,小美洲黑雁/加拿大黑雁,
Mute Swan,Cygnus olor,疣鼻天鹅,外来物种
Tundra Swan,Cygnus columbianus,小天鹅,稀见/偶见
Tundra Swan (Whistling),Cygnus columbianus columbianus,小天鹅（北美）,稀见/偶见
Tundra Swan (Bewick's),Cygnus columbianus bewickii,小天鹅（欧亚）,
Whooper Swan,Cygnus cygnus,大天鹅,
swan sp.,Cygnus sp.,未识别的天鹅,
goose sp.,Anatidae (goose sp.),未识别的雁类,
Ruddy Shelduck,Tadorna ferruginea,赤麻鸭,稀见/偶见
Common Shelduck,Tadorna tadorna,翘鼻麻鸭,
Mandarin Duck,Aix galericulata,鸳鸯,
Baikal Teal,Sibirionetta formosa,花脸鸭,
Garganey,Spatula querquedula,白眉鸭,
Northern Shoveler,Spatula clypeata,琵嘴鸭,
Gadwall,Mareca strepera,赤膀鸭,
Gadwall (Common),Mareca strepera strepera,赤膀鸭（广布）,
