109,葛西臨海公園,纬度,经度
68,東京港野鳥公園,35.5819998,139.7648603
179,水元公園,35.7864078,139.8692539
11,新宿御苑,35.68517629999999,139.7100517
40,石神井公園,35.7381953,139.5961697
435,井の頭公園,35.699717,139.573201
51,明治神宮,35.6732786,139.7000895
1422,東京都立桜ヶ丘公園(聖蹟桜ヶ丘),35.63914429616813,139.4621676506505
890,薬師池公園,35.577715,139.447573
141,八王子城跡,35.6531485,139.2530699
53,昭和記念公園,35.7124906,139.3943982
574,小宮公園(八王子),35.6734464,139.3384843
1143,都立浮間公園,35.794827,139.692878
591,不忍池(上野恩賜公園),35.711096,139.770068
438,皇居,35.685149,139.752821
444,多摩森林科学園,35.646307,139.278886
171,光が丘公園,35.763789,139.628211
136,井の頭恩賜公園,35.6983166,139.5714729
5409,多摩川台公園,35.58941429088409,139.66642599744875
429,善福寺公園,35.713451,139.591471
35,高尾山,35.6251209,139.2436593
174,野川公園,35.6800207,139.5241022
1812,多摩川二ヶ領宿河原堰,35.62203,139.576052
23,日比谷公園,35.6738235,139.7561631
408,野川,35.685171,139.525575
469,東京都立小金井公園,35.7170595,139.5178824
1081,代々木公園,35.671736,139.692756
19,上野恩賜公園,35.7141299,139.7726398
597,舎人公園,35.798513,139.768541
1587,六郷橋緑地,35.539158,139.71012
600,和田堀公園,35.685166,139.640519
26,皇居東御苑,35.6862432,139.7594019
407,荒川河川敷,35.760044,139.767109
1375,浜離宮恩賜庭園,35.6597374,139.7613038
514,洗足池(大田区),35.60161599263557,139.69070063853727
73,檜原都民の森,35.7385269,139.0214997
1066,武蔵野公園,35.68948000259668,139.51848157361346
31,都立狭山公園,35.7631647,139.4426358
1754,小石川植物園,35.718985,139.74558
155,大栗川(多摩川合流地点),35.647139,139.45401
7976,国立科学博物館附属自然教育園(港区東京),35.638263,139.719653
154,多磨霊園,35.699608,139.5586082
938,武蔵野の森公園,35.67671938543018,139.52291775460193
4000,善福寺川緑地,35.6906632,139.6302292
2513,長池公園,35.606542,139.388627
11960,片倉城跡公園,35.64004573372666,139.33744298660898
7954,木場公園(江東区),35.67716325559085,139.80850092796388
510,神代植物公園,35.671178,139.548364
1212,北の丸公園,35.69196407412931,139.7501701736479
24,井の頭自然文化園,35.7007863,139.5727739
233,砧公園,35.6290383,139.6213565
4003,六義園,35.7327591,139.745518
45,小石川後楽園,,
5034,浅間山公園(府中市),35.68098883754331,139.50172523951673
11483,仙台堀川公園(江東区),35.68046236978395,139.83872731647577
555,洗足池公園,35.60360476726045,139.69016962860042
52,明治神宮北池,35.679331,139.699515
14,上野動物園,35.7154865,139.7701375
1824,東京都多摩地域,,
9895,檜町公園(東京ミッドタウン),35.66719267945329,139.73142371547868
106,羽村堰,35.75472,139.3085544
161,奥多摩湖,35.7798056,139.0375259
89,清澄庭園(清澄公園),35.6806762,139.7978043
4965,猿江恩賜公園,35.69012473318389,139.81839609688635
4937,大井ふ頭中央海浜公園(なぎさの森),,
1376,清瀬金山緑地公園,35.78864107341802,139.5217914480631
9939,横十間川親水公園(東京都江東区),35.67647686126745,139.82031848757634
9230,黒川清流公園,35.66625975246521,139.38665871601688
5042,荒川生物生態園(東京都板橋区),35.7965999,139.6767472
4425,多摩川(浅川合流付近),35.661756,139.435721
3893,恩田川(高瀬橋付近),35.5427525,139.4628853
2377,小山田緑地公園,35.597776,139.417067
10497,平山城址(平山城址公園),35.64007433753971,139.38132452529035
3899,お台場海浜公園,35.63061124066977,139.77643685186558
4004,小山内裏公園,35.60708705197305,139.3678112268651
10075,新木場緑道公園(東京都江東区),35.64056110884418,139.84062913127403
114,裏高尾,35.6410146,139.2657837
2070,多摩霊園,35.684199,139.510603
12346,多摩川トライアングル,35.71459502934657,139.3313673060979
1507,赤羽自然観察公園,35.774266,139.711622
5162,母島(小笠原),26.67347178563507,142.15403315589677
430,東京都品川区,35.60882,139.730231
11305,ギャザリアビオガーデン　フジクラ木場千年の森,35.66726149969685,139.80253131356858
7167,林試の森公園,35.62501,139.702677
8456,都立八国山緑地,35.77010059521899,139.45861033602603
6045,横沢入,35.73512869996441,139.23977190839503
8656,清瀬金山調節池,35.79090632684569,139.52402707212948
10587,旧中川水辺公園,35.71748794344502,139.8341453818784
1813,二子玉川,35.6107851734641,139.6262324138755
1816,城南島海浜公園,35.578295,139.783423
29,多摩動物公園,35.6499646,139.3992091
104,羽村堰(上流),35.756586,139.305017
2606,旧芝離宮恩賜庭園,35.65492650671082,139.75875010211126
8467,武蔵関公園(練馬区),35.72749427253658,139.5675079301474
12058,平和の森公園(大田区),35.5800735342272,139.7399089886967
6687,哲学堂公園,35.722566,139.673898
11088,大森ふるさとの浜辺公園,35.57398435748425,139.74136449322188
5481,梅の公園(青梅市),35.78515383271297,139.21959116084625
875,御岳渓谷,35.80097046561499,139.18372556912894
4254,しながわ区民公園(品川区民公園),35.59226327742901,139.7388458541965
105,羽村堰(下流),35.752899,139.31049
866,潮風公園(お台場),35.62350989978486,139.769779820496
6460,青梅丘陵,35.79319823836735,139.25994645076602
11584,田園調布せせらぎ公園(多摩川せせらぎ公園),35.58980992126399,139.6696935206311
25,東京大学附属植物園,35.7201356,139.7444118
5484,東村山中央公園,35.747857644837,139.459124254023
6375,姿見の池(国分寺市),35.70044614868488,139.46897365541574
13313,多摩川(丸子橋付近),35.58526736992389,139.6690858692574
25849,荏原神社(品川区),35.61695521263621,139.7436144696169
1694,狭山公園,35.76323,139.441606
4231,郷土の森公園(府中市),35.65660627628006,139.4750596720937
6215,羽根木公園,35.658805,139.654652
34,高尾駅,35.64237,139.28267
36,景信山,35.6463435,139.2157318
14370,日の出野鳥の森,35.74867966531141,139.27544396486127
436,伊豆大島,34.741444,139.385787
6614,豊洲ぐるり公園,35.64089375359548,139.77764207358467
39,木下沢林道,35.6437505,139.2412108
4526,神代植物園,35.6693103,139.5472056
33,高尾山口駅,35.632454,139.269838
9005,六道山公園,35.76499309969402,139.37913784951354
4800,多摩川中流域,,
4349,有栖川宮記念公園,35.6520272,139.7236069
1368,芹ヶ谷公園(町田市),35.54748491339536,139.4517883846777
7658,千住桜木自然地 (東京都足立区),35.756215,139.78414
5569,兵庫島公園,35.611677,139.624477
3396,多摩川(関戸橋付近),35.65346978364628,139.45535078631102
1915,大戸緑地,35.615582,139.285359
16758,一ノ宮公園,35.65505664474489,139.4441398755978
183,城山公園(東京都),35.6790048,139.4378343
